FIPS,White,Black,Asian,Hispanic,AIAN
46037,0.8504312717929895,0.00403743806202973,0.0067902367406863645,0.02514222793173059,0.0950633143696091
46039,0.9327124563445868,0.007916181606519208,0.001629802095459837,0.038649592549476135,0.007450523864959255
46041,0.17675128841381943,0.00477190303493033,0.0026722656995609847,0.04447413628555068,0.7249475090666158
46043,0.9333333333333333,0.004585537918871252,0.0014109347442680777,0.020458553791887126,0.025044091710758377
46045,0.9538384345208228,0.0030105368790767687,0.003763171098845961,0.020572002007024585,0.010035122930255895
46047,0.8370859027678187,0.010755772264448587,0.01563172235766528,0.04144557579234189,0.06453463358669152
46049,0.971764705882353,0.004705882352941176,0.004705882352941176,0.009411764705882352,0.0037647058823529413
46051,0.9233721545791425,0.006087877183695077,0.002911593435680254,0.047114875595553204,0.009264160931709899
46053,0.8668002003004507,0.00400600901352028,0.005508262393590386,0.01602403605408112,0.0771156735102654
46055,0.9150641025641025,0.002136752136752137,0.004273504273504274,0.018696581196581196,0.026175213675213676
46057,0.9242375081116159,0.004704737183646983,0.0027579493835171967,0.05045425048669695,0.006651524983776768
46059,0.9624801271860095,0.0012718600953895071,0.004133545310015898,0.01685214626391097,0.005087440381558029
46061,0.9531927188673793,0.005200809014735626,0.0037561398439757295,0.01444669170759896,0.00722334585379948
46063,0.9115179252479023,0.012204424103737605,0.005339435545385202,0.02593440122044241,0.028985507246376812
46065,0.8056290458767239,0.00698001688713763,0.007148888263439347,0.034393470306783,0.12209400506614129
46067,0.9412952740002692,0.008347919752255285,0.0035007405412683453,0.024639827655850276,0.011579372559579911
46069,0.8597464342313788,0.0071315372424722665,0.002377179080824089,0.01664025356576862,0.08795562599049128
46071,0.3631503920171062,0.009265858873841768,0.0024946543121881683,0.03991446899501069,0.5270848182466144
46073,0.9242333132892363,0.0018039687312086591,0.003006614552014432,0.047504509921828024,0.00841852074564041
46075,0.8822246455834242,0.003271537622682661,0.0,0.027262813522355506,0.05016357688113413
46077,0.9413919413919414,0.003470213996529786,0.006169269327164064,0.03084634663582032,0.007518796992481203
46079,0.9250384302378154,0.010760466588299123,0.008771136630798445,0.027127226693191064,0.012026403833981373
46081,0.8989444271965228,0.00776156473144986,0.014708165166097485,0.037022663769015834,0.020762185656628376
46083,0.9170976504350762,0.017986218750479583,0.015116403983978146,0.02567486686821872,0.0066450791117386165
46085,0.5320064550833782,0.005917159763313609,0.004034427111350188,0.0293168370091447,0.39887036040882196
46087,0.9294262583597325,0.005807814149947202,0.0021119324181626186,0.04311862020415347,0.008095740936290039
46089,0.9589381999170469,0.006221484861053505,0.0033181252592285357,0.013687266694317711,0.0037328909166321027
46091,0.82164421737111,0.007895959126799815,0.0025545750116117046,0.08197863446353924,0.07036692986530423
46093,0.8667425968109339,0.01899370226450489,0.011992496315154763,0.04408414846576444,0.030349725311536915
46095,0.33420229405630864,0.005735140771637122,0.0031282586027111575,0.034932221063607924,0.559436913451512
46097,0.9373368146214099,0.008268059181897302,0.005221932114882507,0.03307223672758921,0.0039164490861618795
46099,0.8100388410559088,0.06380378674941942,0.02193556238400925,0.054270994959789876,0.02543937043009117
46101,0.7597853535353535,0.011994949494949494,0.018623737373737372,0.04513888888888889,0.13083964646464646
46102,0.04315389116442364,0.002925687536571094,0.0013897015798712698,0.03986249268578116,0.8996489174956115
46103,0.7898500302136933,0.013055977733423669,0.01244254820457417,0.05644467231876362,0.09207851897969274
46105,0.9333333333333333,0.005291005291005291,0.004232804232804233,0.01869488536155203,0.02433862433862434
46107,0.9194983818770227,0.004449838187702265,0.009708737864077669,0.024676375404530743,0.025485436893203883
46109,0.5399805447470817,0.0071984435797665365,0.0032101167315175096,0.040175097276264594,0.37782101167315174
46111,0.9399141630901288,0.0017167381974248926,0.002145922746781116,0.03304721030042918,0.00944206008583691
46115,0.9301996541424304,0.006445527432793586,0.0015720798616569722,0.03537179688728188,0.015563590630404025
46117,0.8697986577181208,0.005704697986577181,0.002348993288590604,0.021140939597315438,0.06711409395973154
46119,0.9239280774550485,0.004149377593360996,0.0006915629322268327,0.029737206085753802,0.026970954356846474
46121,0.06878420431376757,0.004506921343491791,0.030904603498229422,0.03766498551346711,0.8389312157956862
46123,0.7916073968705548,0.004445234708392603,0.0033783783783783786,0.024893314366998577,0.1516714082503556
46125,0.9507667473769169,0.006341519658710942,0.002421307506053269,0.022598870056497175,0.0069180214458664825
46127,0.9096424959847719,0.013086669442626852,0.015347094164535125,0.03997382666111474,0.006364880138004877
46129,0.7838193791157102,0.0037629350893697085,0.017497648165569143,0.022013170272812795,0.141862652869238
46135,0.8732303732303732,0.01964821964821965,0.006520806520806521,0.05422565422565422,0.029515229515229516
46137,0.22627434728553666,0.005387484459179445,0.0020721094073767096,0.036469125569830084,0.6879403232490675
47001,0.8872061512129974,0.03902856476018827,0.013899874226884327,0.03381611192510665,0.003889890175434047
47003,0.7582260087186735,0.07584051595437626,0.008599239604275733,0.1340446284610944,0.0034436769711567172
47005,0.9212052445789208,0.026348966212808876,0.005925365607665154,0.025718608169440244,0.00548411497730711
47007,0.8727284919198015,0.07537048212968551,0.002950445919667404,0.029571514785757393,0.005565613893918058
47009,0.9045535186280308,0.02891780011827321,0.008944411590774689,0.03776611472501478,0.0029050857480780604
