FIPS,Poor or fair health,Adult obesity,Physical inactivity,Diabetes prevalence,Food insecurity
13271,0.304632087,0.313,0.368,0.258,0.176
13273,0.281075181,0.354,0.331,0.131,0.201
13275,0.220936348,0.367,0.3,0.118,0.158
13277,0.234855454,0.384,0.337,0.099,0.157
13279,0.255187337,0.448,0.357,0.186,0.167
13281,0.175024132,0.255,0.254,0.117,0.136
13283,0.241581,0.283,0.302,0.07,0.17
13285,0.219864793,0.503,0.313,0.126,0.154
13287,0.258803242,0.393,0.4,0.195,0.199
13289,0.273048058,0.37,0.303,0.15,0.184
13291,0.171940381,0.283,0.271,0.12,0.121
13293,0.236179471,0.224,0.328,0.088,0.155
13295,0.205691564,0.353,0.355,0.182,0.141
13297,0.18316536,0.323,0.325,0.112,0.11
13299,0.238814448,0.34,0.371,0.135,0.162
13301,0.2826742,0.495,0.218,0.217,0.171
13303,0.260058026,0.338,0.368,0.186,0.181
13305,0.235683951,0.406,0.298,0.153,0.149
13307,0.26121428,0.234,0.201,0.198,0.168
13309,0.283798024,0.392,0.345,0.118,0.184
13311,0.176388634,0.257,0.227,0.147,0.117
13313,0.264515134,0.333,0.333,0.147,0.117
13315,0.248865546,0.346,0.406,0.221,0.154
13317,0.259155593,0.406,0.295,0.218,0.168
13319,0.247517247,0.339,0.295,0.073,0.161
13321,0.225942392,0.44,0.337,0.23,0.155
15001,0.170861747,0.258,0.199,0.112,0.129
15003,0.170119419,0.244,0.2,0.113,0.104
15005,0.146247769,0.118,0.207,0.111,0.186
15007,0.156840731,0.236,0.183,0.102,0.097
15009,0.147340953,0.246,0.177,0.103,0.104
16001,0.130567722,0.25,0.153,0.076,0.091
16003,0.188090321,0.324,0.193,0.15,0.133
16005,0.170141927,0.312,0.217,0.109,0.122
